Model,R² Score (Test),R² Score (Train),RMSE (Test),MAE (Test),Training Time (s),CV R² Mean,CV R² Std,Overfit Score
Gradient Boosting,0.955310543824444,0.9998868314581403,475274.6527124735,247758.88392854185,0.20274996757507324,0.9578974576315467,0.022753316971269484,0.044576287633696254
LightGBM,0.9474881747132675,0.986758792481274,515193.85640393547,297134.69748078845,0.25773024559020996,0.9237593728434955,0.019052803259313793,0.039270617768006444
XGBoost,0.9427220225334167,0.9999510645866394,538066.5743376657,278758.2270642202,0.14547061920166016,0.9429280281066894,0.01896252120854499,0.057229042053222656
Random Forest,0.932957528227127,0.9917893350452097,582126.1745236819,291184.2901376147,0.30457639694213867,0.9340064059435086,0.03285419929488102,0.058831806818082755
Ridge,0.8740185568455437,0.8579439233572572,797986.2493564503,537827.4875909821,0.011289596557617188,0.8284617055600109,0.0590387899954851,-0.016074633488286527
Linear Regression,0.8726580648972693,0.8580726548205002,802283.4637982608,540464.4416132045,0.008096456527709961,0.8265132979617983,0.061383441158737076,-0.014585410076769056
Neural Network,0.6506309509277344,0.6459625363349915,1328875.634723084,980524.8096330275,29.51981520652771,,,-0.00466841459274292
